name,model,global_auc,per_ligand_auc,gini
DrugBAN,drugban,0.9543750945251059,0.375,0.9949000000000001
GEMS,gems,0.6325915475650332,0.25,0.9950000000000001
GraphDTA,graphdta,0.8689139306676449,0.625,0.9950000000000001
MolTrans,moltrans,0.9369864269992664,0.5,0.9865000000000002
RankBind,rankbind,0.6340073978967963,0.8912,0.7871000000000001
