model,GraphDTA,MolTrans,DrugBAN,GEMS,RankBind,Null: prot_prior,Null: random
GraphDTA,1.0,0.17647058823529413,0.6666666666666666,0.8181818181818182,0.0,0.6666666666666666,0.0
MolTrans,0.17647058823529413,1.0,0.1111111111111111,0.17647058823529413,0.0,0.05263157894736842,0.05263157894736842
DrugBAN,0.6666666666666666,0.1111111111111111,1.0,0.6666666666666666,0.0,0.5384615384615384,0.0
GEMS,0.8181818181818182,0.17647058823529413,0.6666666666666666,1.0,0.0,0.6666666666666666,0.0
RankBind,0.0,0.0,0.0,0.0,1.0,0.0350877192982456,0.0
Null: prot_prior,0.6666666666666666,0.05263157894736842,0.5384615384615384,0.6666666666666666,0.0350877192982456,1.0,0.0
Null: random,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,1.0
