split_mode,config,loss,n_seeds,seeds,test_global_auc_mean,test_global_auc_std,test_global_aupr_mean,test_global_aupr_std,test_per_lig_auc_mean,test_per_lig_auc_std,test_hit_at_1_mean,test_hit_at_1_std,test_hit_at_5_mean,test_hit_at_5_std,test_hit_at_10_mean,test_hit_at_10_std,matrix_mrr_mean,matrix_mrr_std,matrix_hit_at_5_mean,matrix_hit_at_5_std,matrix_hit_at_10_mean,matrix_hit_at_10_std,matrix_matrix_per_ligand_auc_mean,matrix_matrix_per_ligand_auc_std
double_cold,cold_both_bce,bce,5,"7,11,42,202,1337",0.8130857476181216,0.009775119542430613,0.7290266123982639,0.010133125070676909,0.8,0.4472135954999579,0.975,0.05590169943749474,1.0,0.0,1.0,0.0,0.024736190772684914,0.006146413699301155,0.0,0.0,0.0,0.0,0.7543680755724477,0.07421850958208633
double_cold,cold_both_rankbind,margin,5,"7,11,42,202,1337",0.5734201827727008,0.0510573473947833,0.42206457684626686,0.05738045414782761,0.7,0.27386127875258304,1.0,0.0,1.0,0.0,1.0,0.0,0.09155210657702019,0.07784994495734475,0.1,0.14907119849998599,0.23333333333333334,0.25276251480171835,0.7221475397291024,0.07474688560256332
ligand,cold_lig_bce,bce,3,"7,42,1337",0.8499640497764324,0.018223092421371687,0.7738011624147868,0.015040285632482081,0.6023194912083801,0.06744831678527416,0.9598393574297189,0.01840391845363791,1.0,0.0,1.0,0.0,0.02754680878682093,0.013193023759716245,0.02314814814814815,0.021215628217388146,0.037037037037037035,0.04243125643477629,0.525936819981393,0.04261888074760156
ligand,cold_lig_rankbind,margin,3,"7,42,1337",0.5906098406098407,0.0409931940527088,0.4268476228562756,0.023159883851548737,0.40862326973438085,0.05823805638796928,0.9357429718875502,0.013912054679268072,1.0,0.0,1.0,0.0,0.294844271448919,0.06429641236519934,0.41203703703703703,0.021215628217388156,0.5648148148148148,0.008018753738744774,0.8879493921945713,0.027614169601571065
