stage,mrr,h@5,h@10,mean_rank,n_matched
random,0.04805031362590569,0.05387205387205387,0.09090909090909091,63.24242424242424,297
cos_hidden,0.035393068096679255,0.020202020202020204,0.050505050505050504,67.006734006734,297
cos_final,0.02565763498201782,0.016835016835016835,0.026936026936026935,78.33333333333333,297
bilinear_low_sum,0.3701346268566678,0.5117845117845118,0.7070707070707071,13.97979797979798,297
bilinear_full,0.3701099615884263,0.5117845117845118,0.7070707070707071,13.969696969696969,297
