target,n,mean,median,frac_above_0.5,wilcoxon_p
pocket,52,0.5013477310647683,0.45474421873708,0.4423076923076923,0.9346767322301331
active,34,0.45889266234624976,0.40289123552721884,0.4411764705882353,0.446560020907782
binding,40,0.5006744186833736,0.4517132880549479,0.425,0.9946976143110078
