model,gini_attractor,mean_score_var,N_prot,N_lig
null_prot_prior,0.9950000000000001,0.06722576916217804,200,200
null_lig_prior,0.9950000000000001,2.753353122246212e-16,200,200
graphdta,0.9950000000000001,99.1026840209961,200,200
gems,0.9950000000000001,43.37313461303711,200,200
drugban,0.9949000000000001,74.90723419189453,200,200
moltrans,0.9865000000000002,38.53715133666992,200,200
null_random,0.5088000000000004,0.08301156759262085,200,200
