,graphdta,moltrans,drugban,gems,null_prot_prior,null_random
graphdta,0.9999999999999999,0.34176088145980243,-0.0071244342211893045,-0.005025125628140703,-0.005025125628140703,-0.08576937169204663
moltrans,0.3417608814598025,1.0,-0.020509448929010438,0.3598434677804269,-0.014466069056499574,0.03773127659895544
drugban,-0.0071244342211893045,-0.020509448929010438,1.0,-0.0071244342211893045,-0.0071244342211893045,0.02134972210428878
gems,-0.005025125628140703,0.3598434677804269,-0.0071244342211893045,0.9999999999999999,-0.005025125628140703,0.015058744648221928
null_prot_prior,-0.005025125628140703,-0.014466069056499574,-0.0071244342211893045,-0.005025125628140703,0.9999999999999999,0.015058744648221928
null_random,-0.08576937169204661,0.037731276598955435,0.02134972210428878,0.015058744648221928,0.015058744648221928,0.9999999999999999
