model,gini,gini_minus_prot_prior
graphdta,0.9950000000000001,0.0
moltrans,0.9865000000000002,-0.008499999999999952
drugban,0.9949000000000001,-9.999999999998899e-05
gems,0.9950000000000001,0.0
null_prot_prior,0.9950000000000001,0.0
null_random,0.5088000000000004,-0.48619999999999974
