,graphdta,moltrans,drugban,gems,null_prot_prior,null_random
graphdta,1.0,0.17647058823529413,0.6666666666666666,0.8181818181818182,0.6666666666666666,0.0
moltrans,0.17647058823529413,1.0,0.1111111111111111,0.17647058823529413,0.05263157894736842,0.05263157894736842
drugban,0.6666666666666666,0.1111111111111111,1.0,0.6666666666666666,0.5384615384615384,0.0
gems,0.8181818181818182,0.17647058823529413,0.6666666666666666,1.0,0.6666666666666666,0.0
null_prot_prior,0.6666666666666666,0.05263157894736842,0.5384615384615384,0.6666666666666666,1.0,0.0
null_random,0.0,0.05263157894736842,0.0,0.0,0.0,1.0
