config,tag,head,cap,total_params,MRR,H@1,H@5,H@10,mrp,gAUC,gAUPR,Gini,Gini_resid,Jac_null
default,v3,bilinear,128,627201,0.20063605399757042,0.058823529411764705,0.4117647058823529,0.5588235294117647,0.12252438663907775,0.5657212949376376,0.3831960992778731,0.8710500000000003,-0.12394999999999978,0.0
default,v4,bilinear,128,627201,0.24653109387058403,0.029411764705882353,0.5,0.6470588235294118,0.09991132131244458,0.6234134262655906,0.4272314517415123,0.7871,-0.2079,0.0
abl_no_sampler,v3,bilinear,128,627201,0.1771299173023946,0.08823529411764706,0.23529411764705882,0.3235294117647059,0.1486845994679279,0.6072656823184153,0.4345197483990406,0.9232000000000002,-0.07179999999999986,0.05263157894736842
abl_no_sampler,v4,bilinear,128,627201,0.16756967564402078,0.058823529411764705,0.2647058823529412,0.5294117647058824,0.14144250665090158,0.628580108217168,0.4590919450398987,0.8951,-0.0999,0.0
abl_no_margin,v3,bilinear,128,627201,0.023086674681263117,0.0,0.0,0.029411764705882353,0.4736919893585575,0.9173009904622158,0.8819243706573646,0.9534500000000001,-0.041549999999999976,0.05263157894736842
abl_no_bilinear,v2,mlp_concat,N/A,627201,0.2195600890646976,0.11764705882352941,0.2647058823529412,0.5588235294117647,0.08099320130062075,0.6663254310344826,0.5299616855191387,0.7438,-0.2512000000000001,0.0
abl_no_bilinear,v4,mlp_concat,N/A,627201,0.1727563067166784,0.058823529411764705,0.23529411764705882,0.47058823529411764,0.08734850724209282,0.678201806676449,0.5374354568954305,0.7188,-0.2763,0.0
abl_bce_only,v2,mlp_concat,N/A,627201,0.012588140076863943,0.0,0.0,0.0,0.49349689624593557,0.9214657465150404,0.884816728609284,0.9927500000000002,-0.0022499999999998632,0.42857142857142855
probe_bce_aux,v4_bceaux05,bilinear,128,627201,0.2706647340035486,0.058823529411764705,0.5294117647058824,0.7058823529411765,0.11498669819686669,0.654533886647102,0.5137658074850606,0.7544,-0.2406,0.0
