config,head,cap,n_seeds,MRR_mean,MRR_std,H@1_mean,H@1_std,H@5_mean,H@5_std,H@10_mean,H@10_std,mrp_mean,mrp_std,gAUC_mean,gAUC_std,gAUPR_mean,gAUPR_std,Gini_resid_mean,Gini_resid_std,Jac_null_mean,Jac_null_std
default,bilinear,128,10,0.18177365767354875,0.07512613123656747,0.058823529411764705,0.04159451654038515,0.3058823529411765,0.16533493320653173,0.4470588235294118,0.20602236135786192,0.14850724209281704,0.0798789044786297,0.6197937683418929,0.024975837802969462,0.4375934509469548,0.03123400389702665,-0.15213499999999996,0.07089547489869229,0.026900584795321637,0.03861420823209164
abl_no_sampler,bilinear,128,3,0.14734547675948145,0.069576282669283,0.0392156862745098,0.03396178054056622,0.27450980392156865,0.19136491466610916,0.4411764705882353,0.152828012432548,0.20371465168982167,0.05396347565249131,0.611144228417706,0.015622564527490109,0.4380594639175648,0.021563591863285957,-0.06795000000000011,0.02921579196256699,0.0,0.0
abl_no_bilinear,mlp_concat,N/A,10,0.14252594211590142,0.09693925238813844,0.05,0.0589051721011757,0.21764705882352942,0.177664804550185,0.36764705882352944,0.23416805710776836,0.20582323381613954,0.15107203859637253,0.6249818873807776,0.036921404009412406,0.46987913710494716,0.059397997302411,-0.12569000000000002,0.11333000191182095,0.07777777777777778,0.20984022924763399
abl_no_margin,bilinear,128,3,0.019591181799504,0.0059398119137087264,0.0,0.0,0.00980392156862745,0.01698089027028311,0.029411764705882353,0.029411764705882353,0.5259138831411961,0.02574455192001469,0.9144793959403278,0.0042910342503163865,0.8742714130784964,0.005939612507404564,-0.05795000000000002,0.005500681775925529,0.017543859649122806,0.030386856273138196
abl_bce_only,mlp_concat,N/A,3,0.014096715110857172,0.0019610173839129503,0.0,0.0,0.0,0.0,0.0,0.0,0.4647748546654843,0.04644364498379669,0.9179681768158474,0.0028751109069556336,0.880038036234731,0.006878747836454324,-0.0029333333333333065,0.0019198524248839146,0.6744366744366744,0.14002192145252607
abl_mrrsel,bilinear,128,3,0.18329460390459176,0.054672355203541856,0.049019607843137254,0.061225470572533316,0.3235294117647059,0.05882352941176469,0.5392156862745098,0.10329072306718373,0.12198246132623904,0.0453694349330905,0.5838870292247493,0.03514266380439685,0.39303394517237383,0.025746848030536094,-0.17628333333333335,0.06096151108144662,0.09161793372319688,0.033763173636820215
abl_attn_pool,bilinear+attn,128,1,0.3162084555157491,0.0,0.14705882352941177,0.0,0.5588235294117647,0.0,0.7058823529411765,0.0,0.06547443097842152,0.0,0.646366012472487,0.0,0.4481221759852625,0.0,-0.24544999999999995,0.0,0.0,0.0
