benchmark,run,n_positive_pairs_matched,rb_matrix_mrr,rb_matrix_hit5,rb_matrix_hit10,rb_mean_rank_pct,rb_gini,null_prot_prior_mrr,null_lig_prior_mrr,null_random_mrr,null_prot_prior_gini,gini_residual,rho_row_vs_null_prot_prior_mean,rho_row_vs_null_prot_prior_std,top10_jaccard_vs_null_prot_prior,global_train_pos_rate,n_pool_proteins,n_pool_proteins_in_train,frac_pool_proteins_in_train
kcat_km_with_decoys_hp1400,20260504-115214_1746525d51_kcat_km_with_decoys_hp1400_bs_v2_hp1400,76,0.2280429880383422,0.32894736842105265,0.40789473684210525,0.07755884686590848,0.8130000000000002,0.013333333333333334,1.0,0.026850144877728025,0.9950000000000001,-0.18199999999999994,0.010301119339882703,0.08405764234203511,0.05263157894736842,0.29165831830628464,200,130,0.65
km_with_decoys_hp3400,20260504-115536_1746525d51_km_with_decoys_hp3400_bs_v2_hp3400,59,0.2190030796456462,0.288135593220339,0.3898305084745763,0.2595179286261817,0.7862500000000001,0.00980392156862745,1.0,0.026268841287501635,0.9950000000000001,-0.20875,-0.04427159242393923,0.06268787064768064,0.05263157894736842,0.5204122373608824,200,123,0.615
turnover_with_decoys_hp2000,20260504-115800_1746525d51_turnover_with_decoys_hp2000_bs_v2_hp2000,35,0.3441930603246297,0.4857142857142857,0.7142857142857143,0.06547020818377602,0.8215500000000002,0.013513513513513513,1.0,0.02086330067947976,0.9950000000000001,-0.17344999999999988,-0.06194595972561331,0.09893760617778527,0.1111111111111111,0.40068770226537215,200,121,0.605
