stage,n_dim,linear_probe_auc
raw_inputs,1664,0.8571062833735645
after_LN,1664,0.8654451027722917
after_hidden,512,0.8758198619949772
proj_concat,512,0.8656401628751859
bilinear_low,128,0.8017335966644722
score,1,0.6796198766244849
