residue_class,n,mean,median,q1,q3,whisker_lo,whisker_hi,min,max
acidic,3261,-0.46631102311754663,-0.5127190351486206,-1.0206459760665894,0.109327994287014,-2.712974786758423,1.7953678369522097,-3.924015045166016,3.553462266921997
basic,3390,-0.3691183303538463,-0.4485960751771927,-0.9645253717899323,0.19964712113142008,-2.677332878112793,1.9311115741729736,-3.556079626083374,4.475017547607422
polar,6959,0.012022889583062064,-0.0546163544058799,-0.6454292237758636,0.6492400169372559,-2.574854612350464,2.5895040035247803,-3.958131313323975,4.071197032928467
special,3402,0.026187948718000294,0.0075162795837968,-0.647733747959137,0.662344366312027,-2.601969718933105,2.6060261726379395,-3.543484926223755,4.389453411102295
hydrophobic,8172,0.2052440025073913,0.15522854775190348,-0.4151722490787506,0.7740193754434586,-2.1863901615142822,2.5564494132995605,-3.2272133827209477,4.324244976043701
aromatic,1704,0.5410467425033638,0.4345714598894119,-0.12443511001765725,1.1442224085330963,-1.9866479635238647,3.030487060546875,-2.886701822280884,4.0179595947265625
