group,n,mean,median,q1,q3,whisker_lo,whisker_hi,min,max
all_residues,26888,0.5011157393632847,0.5011089963951469,0.25105090877767244,0.7510661126837732,0.0009784735812133072,1.0,0.0009784735812133072,1.0
binding_site,324,0.33743258155659395,0.16026871401151632,0.03560924369747899,0.6833780860307094,0.0013908205841446453,1.0,0.0013908205841446453,1.0
active_site,73,0.0982452412967956,0.029978586723768737,0.01098901098901099,0.0781758957654723,0.0009784735812133072,0.1675485008818342,0.0009784735812133072,0.876010781671159
